"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2083019191,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2083019701,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
2083019795,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
2083020114,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2083020742,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0
2083020891,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
2083020955,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
2083021218,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083022591,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1
2083022681,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
2083022753,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2083022931,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
2083023016,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
2083023385,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0
2083023539,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2083023636,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2083023784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
2083024136,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
2083024543,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
2083024896,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
2083025329,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
2083026023,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
2083026589,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
2083026848,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
2083027020,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1
2083027526,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0
2083027968,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0
2083028379,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
2083029243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2083029260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083029677,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2083030268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
2083030705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2083030934,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
2083031019,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2083031108,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0
2083031558,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2083031701,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2083032392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2083032813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2083033658,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2083034191,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1
2083034841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2083035456,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2083035545,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2083035791,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
2083036398,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0
2083036941,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2083036991,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
2083037165,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2083037751,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0
2083037939,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2083038188,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2083038773,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
2083038871,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2083038943,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1
2083039184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2083039443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2083042967,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2083043289,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2083043521,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
2083043564,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
2083043637,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1
2083043882,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
2083044064,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0
2083044471,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
2083044561,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083044668,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1
