"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2093046850,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,2,2
2093046965,1,9,1,1,1,1,1,1,1,1,1,1,1,8,3,1,0,2,2
2093048143,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1
2093050351,1,9,0,0,1,0,1,1,1,1,1,0,0,1,3,0,0,2,3
2093050687,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1
2093050792,1,9,9,9,0,1,0,9,1,0,1,0,9,0,1,0,0,1,2
2093050857,1,1,0,1,0,8,0,1,1,1,1,0,1,0,3,8,0,8,1
2093050881,1,1,0,1,0,0,0,1,1,1,1,0,0,1,2,1,0,2,1
2093051292,1,0,1,1,1,0,1,1,1,0,1,1,1,1,3,1,0,2,2
2093052078,0,1,8,1,1,8,0,1,1,0,0,0,0,0,3,8,0,1,8
2093052141,0,1,0,1,0,0,1,1,1,0,0,0,1,0,3,0,0,2,1
2093052183,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,8
2093052582,0,0,0,1,0,0,0,0,1,1,0,1,0,0,3,0,1,2,3
2093054780,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,8,1,2,3
2093055221,0,1,1,1,0,1,0,0,1,0,1,0,0,0,3,0,1,2,1
2093055476,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,0,2,3
2093055816,0,1,1,1,0,0,1,1,1,1,1,0,0,1,3,0,1,2,1
2093056936,0,NA,0,1,1,0,1,NA,1,1,1,1,NA,0,3,8,0,1,1
2093057011,1,NA,0,1,0,0,0,1,1,1,0,0,9,0,3,8,1,1,8
2093057029,1,NA,NA,NA,0,1,0,NA,1,0,0,1,NA,NA,2,9,0,2,1
2093057428,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,2,1
2093058041,0,1,0,1,1,0,8,1,8,0,0,1,0,1,3,8,8,8,3
2093058068,1,1,0,1,1,1,1,1,1,1,0,1,0,0,3,1,0,2,2
2093058289,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,2,3
2093058360,1,1,0,1,0,0,0,1,1,1,1,1,1,0,2,8,0,2,1
2093059226,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
2093059391,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,2,1
2093059978,1,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,1,NA,0,2,1
2093060577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2093060844,0,NA,NA,NA,0,0,0,NA,0,0,0,1,NA,NA,1,9,0,2,1
2093061361,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
2093061859,1,1,1,1,0,0,0,1,0,0,0,0,0,1,3,1,0,2,1
2093062006,1,NA,NA,NA,0,0,0,NA,1,1,1,0,NA,NA,3,NA,0,2,NA
2093062146,0,0,0,0,0,8,0,1,0,0,0,0,NA,0,2,8,0,1,8
2093063142,1,1,1,1,0,0,1,0,1,0,0,1,1,0,3,0,1,1,3
2093065081,0,1,8,0,0,8,8,0,0,0,0,0,0,8,3,0,8,2,8
2093065196,1,NA,NA,9,0,1,0,NA,1,0,0,1,NA,0,3,0,0,1,2
2093066729,0,NA,0,1,0,0,0,0,1,0,0,1,NA,0,3,0,0,2,3
2093066788,1,NA,NA,9,1,0,1,NA,1,1,1,1,NA,0,3,0,0,2,1
2093066893,1,NA,0,1,0,0,0,1,0,0,0,1,9,0,1,0,0,1,1
2093067423,1,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,0,2,2
2093067831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,1,8
2093067890,1,1,0,1,0,1,0,0,0,0,0,1,1,0,3,0,0,2,1
2093069175,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,2,2
2093069876,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,2
2093070734,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3,0,1,2,1
2093071161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
2093071323,1,NA,NA,NA,0,0,0,NA,1,1,1,0,NA,0,1,0,0,2,1
2093071501,0,1,1,1,0,0,1,1,1,1,0,0,0,0,3,0,0,2,2
2093071757,0,NA,NA,NA,1,0,0,NA,1,1,0,0,NA,9,3,1,0,2,3
2093071862,1,1,1,1,0,0,1,1,1,1,1,1,0,0,3,0,0,2,3
2093072338,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,1,2,2
2093072761,1,0,0,1,1,0,0,0,1,1,1,0,0,0,3,0,1,2,2
2093073202,1,1,1,1,0,1,1,0,1,1,1,1,0,0,3,0,1,2,3
2093074390,1,1,0,1,0,0,1,1,1,0,0,0,1,0,3,1,0,2,1
2093074454,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,2,1
2093075311,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,2,1
2093076091,1,NA,9,1,1,0,1,NA,1,0,1,0,NA,0,3,1,1,2,2
2093076546,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,2,1
2093076694,0,9,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,1
2093076848,1,NA,9,1,1,0,1,NA,1,0,1,0,NA,0,2,8,0,2,8
2093076945,1,NA,NA,9,1,8,0,NA,1,1,0,0,NA,1,3,8,0,2,3
2093077291,1,0,1,0,1,1,0,1,1,0,1,1,0,0,3,0,0,2,1
2093077691,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2,8,1,1,1
2093078395,0,1,0,1,0,0,0,1,1,1,0,1,0,0,3,1,0,2,2
2093079502,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1
2093079596,0,9,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1
2093079677,1,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,2,2
2093079693,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,2,1
2093079707,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,2,1
2093079782,0,9,1,0,0,0,0,0,0,0,0,1,0,0,3,0,8,2,1
